"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"R_0402_1005Metric";2;"27.4";;;
2;"R9,R8";"R_0402_1005Metric";2;"5.1k";;;
3;"C11,C9";"C_0402_1005Metric";2;"10uF";;;
4;"R4";"R_0805_2012Metric";1;"DNF";;;
5;"R7";"R_0402_1005Metric";1;"DNF";;;
6;"R6";"R_0402_1005Metric";1;"1k";;;
7;"R3";"R_0402_1005Metric";1;"10k";;;
8;"C17,C16,C15,C14,C13,C10,C7,C6,C2";"C_0402_1005Metric";9;"0.1uF";;;
9;"C12,C3";"C_0402_1005Metric";2;"1uF";;;
10;"C5,C4";"C_0402_1005Metric";2;"27pF";;;
11;"J32";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
12;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
13;"J36";"STX35013N";1;"STX-3501-3N";;;
14;"J39,J45,J16";"PinHeader_1x04_P2.54mm_Vertical";3;"Raiser_Male";;;
15;"J17,J9,J13";"PinSocket_1x04_P2.54mm_Vertical";3;"Raiser_Female";;;
16;"MX19";"Kailh_socket_PG1350_optional";1;"SwT";;;
17;"MX14";"Kailh_socket_PG1350_optional";1;"SwLALT";;;
18;"MX15";"Kailh_socket_PG1350_optional";1;"SwR";;;
19;"MX17";"Kailh_socket_PG1350_optional";1;"SwV";;;
20;"MX20";"Kailh_socket_PG1350_optional";1;"SwG";;;
21;"MX21";"Kailh_socket_PG1350_optional";1;"SwB";;;
22;"MX10";"Kailh_socket_PG1350_optional";1;"SwLWIN";;;
23;"MX16";"Kailh_socket_PG1350_optional";1;"SwF";;;
24;"J1,J8,J2,J7";"PinHeader_1x04_P2.54mm_Vertical";4;"Conn_01x04_Male";;;
25;"Y1";"HC%2f49US-(AT49)_1";1;"ABLS-12.000MHZ-B4-T";;;
26;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
27;"RUN1,BOOTSEL1";"TL1016AAF220QG";2;"TL1016AAF220QG";;;
28;"IC2";"SOIC127P790X216-8N";1;"W25Q128JVSIM";;;
29;"IC1";"QFN40P700X700X90-57N-D";1;"RP2040";;;
30;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
