Designator,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,77.248977,-460.233829,165,bottom
C2,114.63,-468.23,270,bottom
C3,106.415,-462.55,180,bottom
C4,121.15,-460.25,0,bottom
C5,121.15,-461.25,0,bottom
C6,108.65,-456.315,90,bottom
C7,106.445,-466.07,180,bottom
C9,105.525,-439.775,180,bottom
C10,98.54,-463.86,180,bottom
C11,99.65,-443.375,90,bottom
C12,106.45,-465.05,180,bottom
C13,119.185,-463.775,0,bottom
C14,106.415,-461.55,180,bottom
C15,119.2,-462.25,0,bottom
C16,114.4,-455.415,90,bottom
C17,109.4,-468.135,270,bottom
F1,110.8,-407,180,bottom
IC1,112.8,-462.05,270,bottom
IC2,100.95,-458.41,270,bottom
J32,115.92,-393.44,0,bottom
R1,108.851,-446.427,90,bottom
R2,109.901,-446.427,90,bottom
R3,97.3,-455.265,90,bottom
R4,118.9,-468.3,0,bottom
R6,119.2,-461.25,0,bottom
R7,106.425,-467.09,0,bottom
R8,123.3,-392.7,0,bottom
R9,123.3,-393.8,180,bottom
R17,118.885,-466.8,180,bottom
RUN1,84.151023,-462.066171,165,bottom
U1,104.05,-444.975,270,bottom
Y1,124.75,-462.45,90,bottom
