"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C6,C7,C13,C15,C10,C17,C16,C14";"C_0402_1005Metric";9;"0.1uF";;;
2;"C9,C11";"C_0402_1005Metric";2;"10uF";;;
3;"C3,C12";"C_0402_1005Metric";2;"1uF";;;
4;"J32";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
5;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
6;"C5,C4";"C_0402_1005Metric";2;"27pF";;;
7;"R4,R17";"R_0402_1005Metric";2;"5.1K";;;
8;"R2,R1";"R_0402_1005Metric";2;"27.4";;;
9;"MX15";"MX-1U-NoLED_HotSwap";1;"SwR";;;
10;"MX10";"MX-1U-NoLED_HotSwap";1;"SwLWIN";;;
11;"MX14";"MX-1U-NoLED_HotSwap";1;"SwLALT";;;
12;"J39,J45,J50,J16";"PinHeader_1x04_P2.54mm_Vertical";4;"Raiser_Male";;;
13;"J36";"STX35013N";1;"STX-3501-3N";;;
14;"MX16";"MX-1U-NoLED_HotSwap";1;"SwF";;;
15;"G***";"Crowfeet75";1;"LOGO";;;
16;"Y1";"HC%2f49US-(AT49)_1";1;"ABLS-12.000MHZ-B4-T";;;
17;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
18;"RUN1,BOOTSEL1";"TL1016AAF220QG";2;"TL1016AAF220QG";;;
19;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
20;"IC2";"SOIC127P790X216-8N";1;"W25Q128JVSIM";;;
21;"J13,J17,J9";"PinSocket_1x04_P2.54mm_Vertical";3;"Raiser_Female";;;
22;"IC1";"QFN40P700X700X90-57N-D";1;"RP2040";;;
23;"J8,J1,J2,J7";"PinHeader_1x04_P2.54mm_Vertical";4;"Conn_01x04_Male";;;
24;"R3";"R_0402_1005Metric";1;"10k";;;
25;"R7";"R_0402_1005Metric";1;"DNF";;;
26;"R6";"R_0402_1005Metric";1;"1k";;;
27;"MX19";"MX-1U-NoLED_HotSwap";1;"SwT";;;
28;"MX20";"MX-1U-NoLED_HotSwap";1;"SwG";;;
29;"MX17";"MX-1U-NoLED_HotSwap";1;"SwV";;;
30;"MX21";"MX-1U-NoLED_HotSwap";1;"SwB";;;
31;"R9,R8";"R_0402_1005Metric";2;"5.1k";;;
32;"MX49";"MX-1U-NoLED_HotSwap";1;"Sw4";;;
33;"MX50";"MX-1U-NoLED_HotSwap";1;"Sw5";;;
