"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
2;"R5";"R_0402_1005Metric";1;"5.1K";;;
3;"J34,J47,J19";"PinSocket_1x04_P2.54mm_Vertical";3;"Raiser_Female";;;
4;"J37";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
5;"J41,J43,J52,J12";"PinHeader_1x04_P2.54mm_Vertical";4;"Raiser_Male";;;
6;"J46";"STX35013N";1;"STX-3501-3N";;;
7;"BOOTSEL2,RUN2";"TL1016AAF220QG";2;"TL1016AAF220QG";;;
8;"IC4";"SOIC127P790X216-8N";1;"W25Q128JVSIM";;;
9;"IC3";"QFN40P700X700X90-57N-D";1;"RP2040";;;
10;"Y2";"HC%2f49US-(AT49)_1";1;"ABLS-12.000MHZ-B4-T";;;
11;"J25,J24,J26,J27";"PinHeader_1x04_P2.54mm_Vertical";4;"Conn_01x04_Male";;;
12;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
13;"C24,C20";"C_0402_1005Metric";2;"1uF";;;
14;"C19,C23,C32,C31,C29,C28,C27,C25,C26";"C_0402_1005Metric";9;"0.1uF";;;
15;"C22,C21";"C_0402_1005Metric";2;"27pF";;;
16;"C8,C18";"C_0402_1005Metric";2;"10uF";;;
17;"MX25";"MX-1U-NoLED_HotSwap";1;"SwN";;;
18;"MX34";"MX-1U-NoLED_HotSwap";1;"SwRALT";;;
19;"MX29";"MX-1U-NoLED_HotSwap";1;"SwM";;;
20;"MX24";"MX-1U-NoLED_HotSwap";1;"SwH";;;
21;"MX28";"MX-1U-NoLED_HotSwap";1;"SwJ";;;
22;"MX27";"MX-1U-NoLED_HotSwap";1;"SwU";;;
23;"MX23";"MX-1U-NoLED_HotSwap";1;"SwY";;;
24;"R14,R15";"R_0402_1005Metric";2;"27.4";;;
25;"R12";"R_0402_1005Metric";1;"10k";;;
26;"R16";"R_0402_1005Metric";1;"1k";;;
27;"R13";"R_0402_1005Metric";1;"DNF";;;
28;"F2";"Fuse_1206_3216Metric";1;"Polyfuse";;;
29;"R10,R11";"R_0402_1005Metric";2;"5.1k";;;
30;"MX52";"MX-1U-NoLED_HotSwap";1;"Sw7";;;
31;"MX38";"MX-1U-NoLED_HotSwap";1;"SwMENU";;;
32;"MX51";"MX-1U-NoLED_HotSwap";1;"Sw6";;;
33;"G***";"Crowfeet75";1;"LOGO";;;
